"MTurkCode","goal_order","goals","listNum","total_goal","goalType","affordance","approach_avoidance_R","attainability","attainment_maintenance_R","attractiveness_achievement","attractiveness_progress","basic_needs","clarity","commitment","commonality","conflict","connectedness","construal_level","control","difficulty","effort","end_state_specificity_R","external_importance","external_motivation","failure","frequency_R","ideal_motivation","identified_motivation","implementation_intention","importance","initial_time_R","instrumentality","intrinsic_motivation","introjected_motivation","meaningfulness","measurability","other_resources","ought_motivation","procrastination","regret","self_resources","social_desirability","specificity","temporal_duration","urgency","visibility"
"A2ASTDMWBCFIP0",2,"Go back to college this summer to work on degree in three months",2,2,"short-term",4,7,9,7,7,7,6,6,7,7,4,4,7,7,3,4,1,6,2,2,2,7,7,6,7,7,7,5,4,4,4,6,3,3,6,7,7,6,3,5,7
"A21BXRUD15TQL8",1,"I want to find a job that is meaningful to me in the next year.",3,3,"long-term",5,5,7,6,6,5,3,5,4,5,2,4,5,7,4,5,3,4,3,3,2,5,6,3,5,6,5,2,2,4,4,5,3,4,4,6,6,4,4,4,4
"A21BXRUD15TQL8",2,"I would like to lose 5 pounds of weight in the next 3 months.",3,3,"short-term",6,7,10,3,6,5,5,6,6,7,1,2,2,7,2,4,3,2,3,1,1,4,5,5,5,4,2,3,2,3,7,5,1,2,6,7,6,5,3,5,5
"A21BXRUD15TQL8",3,"I want to be highly active three times a week-- such as going on a hike, or spending 45 minutes on the ellipitcal.",3,3,"recurrance",5,6,9,2,6,6,5,7,6,6,2,5,2,7,4,5,3,NA,1,1,1,5,5,6,5,6,2,4,2,4,6,6,2,3,5,6,6,6,3,5,5
"AJ9O2ZA0E8UDZ",1,"To earn enough from m side hustle and business for savings",3,3,"recurrance",6,7,8,7,7,3,6,5,7,5,2,5,7,7,6,7,2,4,7,2,1,5,5,6,7,6,4,5,1,5,4,4,1,2,5,5,4,5,3,4,1
"AJ9O2ZA0E8UDZ",2,"To be healthier and exercise in a regular basis",3,3,"recurrance",4,7,6,1,6,5,7,6,7,7,2,5,4,7,7,5,1,4,5,3,1,5,5,5,5,7,7,4,5,5,4,4,5,4,4,5,4,5,3,4,1
"AJ9O2ZA0E8UDZ",3,"To secure a good paying job and be able to help my husband meet out financial goal.",3,3,"short-term",4,7,6,7,7,7,5,5,7,7,7,5,7,5,7,5,3,NA,7,3,1,5,7,5,7,5,4,5,5,6,5,5,7,4,7,7,7,7,3,7,7
"A3LL096CAY5WHB",1,"My goal is to move my diet towards a more healthy and notorious diet in the next few months. I eat too much junk food and need to begin by phasing that out and switching to more nutritious meals.",2,2,"recurrance",5,6,6,1,7,6,7,6,6,6,2,6,5,7,7,3,1,7,2,3,1,5,6,6,6,4,4,2,5,6,5,6,2,4,7,6,6,6,3,5,5
"A3LL096CAY5WHB",2,"Another goal of mine is to start working out more. I'll start by going out on walks and hopefully within a few months have a full weekly workout routine so that I can get into shape.",2,2,"recurrance",5,7,6,1,6,5,6,6,5,6,1,5,5,6,7,7,1,7,5,3,1,6,6,5,6,4,5,6,6,5,7,7,5,6,7,6,7,6,3,6,5
"A2LT6KC1X51FVW",1,"I want to complete sets of various exercises five days a week.",2,2,"recurrance",7,7,10,NA,7,7,7,7,7,4,1,2,4,7,3,2,3,5,1,3,1,7,7,7,7,5,5,4,2,7,7,5,1,2,5,6,7,7,4,3,7
"A2LT6KC1X51FVW",2,"I want to cook at home, instead of grabbing takeout, Monday through Friday of every week.",2,2,"recurrance",6,NA,7,1,7,7,7,7,7,7,1,2,NA,7,7,7,3,7,4,3,1,7,7,7,7,8,5,4,4,7,7,7,2,5,7,3,7,7,4,7,7
"AWVLT2L5AP873",1,"My goal is that I want to keep eating oatmeal every single day",3,3,"recurrance",4,7,10,1,5,6,5,7,6,2,1,4,2,7,5,2,3,5,5,3,1,2,6,4,6,6,4,1,2,5,7,3,6,5,7,7,4,7,3,6,7
"AWVLT2L5AP873",2,"My goal is that I want to earn at least 50 dollars a day on MTurk",3,3,"recurrance",7,7,11,1,7,7,7,7,7,1,5,1,NA,7,4,7,2,5,6,1,1,4,7,7,7,5,6,6,5,1,7,6,1,1,6,6,1,6,4,1,3
"AWVLT2L5AP873",3,"My goal is that I want to walk at least 30 minutes straight every day",3,3,"recurrance",3,7,8,1,5,4,7,6,5,5,5,4,4,7,4,5,2,4,7,3,1,5,7,5,6,6,5,3,7,3,7,4,2,5,7,7,4,7,4,6,2
"A3U4SSUB9ZZ9T0",1,"My goal is to pay down debt.",3,3,"long-term",4,7,9,2,6,7,7,6,7,5,6,4,7,6,7,7,1,6,5,3,1,7,7,6,7,8,6,1,6,7,7,5,4,4,7,6,7,7,4,6,7
"A3U4SSUB9ZZ9T0",2,"My goal is to exercise at least three times a week.",3,3,"recurrance",6,6,10,6,6,6,6,6,7,6,2,5,4,7,5,5,3,5,2,3,1,6,6,6,6,5,6,4,4,5,6,4,3,4,5,6,7,5,4,6,4
"A3U4SSUB9ZZ9T0",3,"My goal is to save more for retirement and increase savings.",3,3,"recurrance",5,7,10,7,7,6,5,5,7,5,2,7,7,5,7,7,NA,7,3,1,1,6,7,6,6,8,7,2,7,6,7,5,3,2,7,6,6,7,4,7,7
"A2R9OK4M877ZCC",1,"Schedule and take a vacation",3,2,"short-term",3,7,9,7,7,7,7,7,7,7,2,3,6,1,4,4,2,7,2,3,2,1,7,6,7,7,6,7,5,7,4,6,2,5,7,7,7,7,3,4,7
"A2R9OK4M877ZCC",2,"pay off credit cards",3,2,"recurrance",4,3,7,1,7,7,7,7,7,7,2,7,7,7,4,4,1,6,3,3,1,7,7,6,7,8,7,1,7,7,7,2,5,6,7,5,7,7,3,5,7
"A2R9OK4M877ZCC",3,"work toward promotion",3,2,"recurrance",5,7,10,7,7,7,7,7,7,7,2,4,7,6,6,7,1,7,1,1,2,6,7,5,7,8,7,1,5,7,7,7,1,1,7,7,7,7,4,4,7
"A1O9PAK6THJ9Y7",1,"Lose 50 pounds within the next 8 months",2,2,"long-term",5,7,8,7,6,6,6,5,5,6,1,2,6,6,5,3,3,3,3,2,2,4,5,5,6,8,3,3,2,3,7,5,2,4,5,5,5,7,3,5,4
"A1O9PAK6THJ9Y7",2,"Pay off all debts, except car and house, within 8 months",2,2,"long-term",4,7,9,7,6,6,5,5,5,5,2,3,4,4,4,5,3,5,2,1,2,3,6,5,6,6,4,3,2,4,6,5,3,4,5,6,6,7,3,5,4
"A2AT6TSPPCR106",1,"My goal is to lose 20 pounds in 3 months",4,3,"recurrance",4,7,8,7,7,7,7,6,6,6,2,5,4,7,6,4,3,2,1,3,1,7,7,5,7,6,7,2,3,6,7,6,4,5,6,6,5,7,3,7,4
"A2AT6TSPPCR106",2,"My goal is to exercise 3 times per week for 3 months",4,3,"recurrance",6,7,8,6,7,7,7,6,6,6,1,5,4,7,5,4,3,2,2,3,1,7,7,5,7,6,7,1,2,7,7,7,2,4,7,6,6,7,3,7,4
"A2AT6TSPPCR106",3,"My goal is to save $2000 in 3 months",4,3,"long-term",6,7,10,3,7,7,4,6,7,7,1,3,4,6,5,5,3,7,1,2,1,6,7,6,7,5,7,5,3,7,7,5,1,4,4,6,6,7,3,4,2
"A2AT6TSPPCR106",4,"My goal is to spend more quality time with my children.",4,3,"recurrance",6,7,11,2,7,7,5,7,7,6,1,2,6,7,2,6,1,7,1,1,1,7,7,5,7,1,5,7,4,7,6,7,2,1,7,7,6,4,4,5,6
"A28J7H4TH29DC3",1,"My goal is to lose 5 pounds in three months.",3,3,"short-term",7,7,6,4,6,6,6,7,7,7,4,6,4,7,6,7,3,1,2,3,2,6,5,7,6,8,6,1,5,4,7,5,2,6,7,7,6,7,3,4,5
"A28J7H4TH29DC3",2,"My goal is to shop less and only buy things I truly need every month.",3,3,"recurrance",6,3,5,3,5,5,5,7,6,7,2,7,2,7,4,4,1,1,3,3,1,5,6,5,6,6,7,1,3,3,7,3,1,4,5,6,7,5,4,3,2
"A28J7H4TH29DC3",3,"My goal is to quit smoking by the end of the year.",3,3,"recurrance",6,1,4,7,7,7,7,6,6,7,2,7,5,7,7,4,1,7,7,3,1,7,7,6,7,8,7,1,6,4,7,5,6,7,7,5,7,6,4,5,4
"A1VRG5HKZC0H0C",1,"My goal is to attend Wrestlemania on April 10th and 11th.",5,5,"short-term",4,7,9,7,7,5,2,6,7,2,3,2,3,5,4,3,3,1,2,2,2,4,4,7,6,8,2,7,6,4,7,4,1,1,7,7,5,7,2,3,7
"A1VRG5HKZC0H0C",2,"My goal is to get the COVID vaccine within the next 3 months.",5,5,"short-term",2,4,10,6,7,7,7,2,7,7,1,4,7,2,5,4,3,7,7,1,2,7,7,1,7,7,7,2,2,7,7,7,2,1,7,3,7,7,2,7,7
"A1VRG5HKZC0H0C",3,"My goal is meet all deadlines for work in the upcoming quarter-end.",5,5,"short-term",5,3,10,3,5,5,5,6,7,7,6,4,6,5,6,7,3,4,7,1,1,5,7,5,6,4,4,1,7,6,6,5,7,3,7,7,7,5,2,4,4
"A1VRG5HKZC0H0C",4,"My goal is to average 4,000 steps a day which is up from my current average of 3,000.",5,5,"recurrance",3,7,6,5,6,5,5,4,4,4,3,3,1,6,5,5,2,4,2,1,1,5,5,3,4,4,4,4,2,5,7,4,1,4,3,5,4,6,3,3,1
"A1VRG5HKZC0H0C",5,"My goal is to do arm curls at least every 3 days to build up some muscle.",5,5,"recurrance",4,5,6,5,6,6,5,5,5,4,2,3,1,7,4,4,2,3,4,3,1,6,5,4,4,4,3,3,4,5,5,4,2,4,4,5,5,5,3,3,4
"A351LMMMFYPM7U",1,"My goal is to save at least $200 each month",5,5,"recurrance",5,7,8,3,5,6,6,5,6,4,1,2,3,6,3,5,3,3,4,1,1,6,6,6,6,4,5,4,1,4,6,3,1,2,4,6,5,7,4,3,2
"A351LMMMFYPM7U",2,"My goal is to get my lower back surgery finished in the next 3 months",5,5,"short-term",3,7,9,7,6,6,7,4,7,4,1,2,4,3,4,3,3,5,4,1,2,6,7,6,7,6,5,1,1,2,6,4,1,1,4,5,5,7,3,6,5
"A351LMMMFYPM7U",3,"My goal is to sell my house in the next year",5,5,"long-term",4,6,5,7,6,5,6,4,6,5,2,1,2,3,6,4,1,6,4,2,2,2,6,4,6,7,5,1,1,1,4,4,1,2,4,4,4,6,3,4,6
"A351LMMMFYPM7U",4,"My goal is to lose 10 pounds in the next 6 months",5,5,"long-term",3,7,7,6,6,5,7,5,4,6,1,1,2,5,3,5,3,4,4,1,2,5,6,4,5,5,4,1,1,1,6,1,2,3,5,5,4,7,3,4,1
"A351LMMMFYPM7U",5,"My goal is to get closer to my two grown children in the next year",5,5,"long-term",4,7,8,6,7,5,6,4,7,5,1,1,6,6,5,4,1,6,3,1,1,7,6,4,6,6,2,4,4,6,4,3,2,2,7,6,4,4,3,5,4
"A2NHFSO7GMM8QR",1,"my goal is to save 200 dollars monthly.",2,3,"long-term",7,7,8,1,7,7,7,7,7,1,4,4,7,7,7,7,2,7,7,3,1,7,7,7,7,4,7,7,1,7,7,7,1,7,7,7,7,7,3,7,1
"A2NHFSO7GMM8QR",2,"my goal is to eat more vegetable per serving everyday.",2,3,"recurrance",7,7,6,1,6,6,7,7,7,5,1,1,4,7,4,4,2,7,7,3,NA,7,7,7,7,4,4,7,4,7,4,7,7,4,6,7,7,4,2,4,7
"A2VNSNAN1LZBAM",1,"My goal is to quit smoking for good in the next 2 months",3,3,"long-term",3,3,8,7,7,7,7,7,7,7,1,1,6,7,7,7,3,7,5,3,2,5,7,5,7,6,1,1,2,1,7,5,1,4,7,6,7,7,3,6,7
"A2VNSNAN1LZBAM",2,"My goal is to lose at least 30 lbs. in the next 6 months",3,3,"long-term",7,7,10,3,7,7,7,7,6,7,1,1,6,7,6,7,1,4,5,2,2,6,7,5,7,5,1,1,3,1,4,5,1,5,7,6,7,7,3,5,7
"A2VNSNAN1LZBAM",3,"My goal is to move to Texas within the next 3 months",3,3,"short-term",7,7,6,7,7,7,7,5,7,4,1,1,7,5,7,7,2,7,7,1,2,7,7,7,7,6,1,5,2,4,4,5,1,2,7,6,7,7,3,7,7
"A3KIZLHCD945UK",1,"My goal is to lose 10 pounds in 2 months",3,3,"short-term",4,6,10,7,7,7,7,7,7,6,1,7,5,7,6,4,3,5,1,3,2,7,7,7,7,6,4,1,5,3,7,5,1,4,7,7,7,7,3,7,6
"A3KIZLHCD945UK",2,"My goal is to walk 10,000 steps everyday.",3,3,"recurrance",7,7,10,4,6,6,6,7,7,5,1,7,6,7,4,4,3,4,1,3,1,7,7,7,7,6,4,2,6,2,7,7,1,4,7,7,6,7,3,4,7
"A3KIZLHCD945UK",3,"My goal is to quit smoking in the next 3 months.",3,3,"short-term",5,1,9,7,7,7,6,7,7,5,6,6,7,7,7,4,3,7,4,3,2,7,7,7,7,8,6,1,7,4,7,6,7,6,7,7,7,7,3,7,7
"A1720HSKGQ41VJ",1,"My goal is to buy a house in the next 3 months.",4,4,"short-term",5,7,5,7,7,6,6,5,6,5,2,1,5,5,7,4,3,5,4,1,2,4,6,6,6,5,4,2,3,4,7,5,5,4,6,4,6,7,3,7,4
"A1720HSKGQ41VJ",2,"I would like my weight to go below 200 pounds within 3 months.",4,4,"short-term",4,7,8,7,7,7,6,5,5,5,2,2,3,7,5,4,2,3,3,3,1,7,7,5,6,6,4,3,3,5,7,5,2,4,6,5,6,5,3,3,1
"A1720HSKGQ41VJ",3,"I would like to spend at least 30 minutes a week looking for a part time job.",4,4,"long-term",4,7,4,3,4,4,5,6,4,4,1,1,2,7,6,2,3,6,7,3,1,4,5,6,3,7,4,1,6,4,7,5,7,6,3,5,6,7,3,2,3
"A1720HSKGQ41VJ",4,"My goal is to pray and read scriptures everyday.",4,4,"recurrance",7,7,7,5,6,6,7,6,6,4,1,4,3,7,4,2,3,6,4,3,1,7,7,5,6,7,7,3,5,7,7,5,4,6,4,7,6,6,NA,4,1
"A26NGLGGFTATVN",1,"I want to improve my body composition by losing fat and building muscle",2,2,"recurrance",7,7,11,7,6,6,7,7,7,7,1,2,7,7,7,7,1,1,1,1,1,7,7,7,7,8,7,7,1,7,7,4,1,1,7,7,7,4,4,5,7
"A26NGLGGFTATVN",2,"I want to increase my monthly income with smart investing.",2,2,"recurrance",4,7,8,1,7,7,7,7,7,7,1,3,7,5,7,7,2,7,7,3,1,7,7,7,7,8,7,4,7,7,7,4,3,1,7,7,7,7,4,7,7
"A30HUZHJBOX1LK",1,"I intend to lose 30 lbs in the next 3 months, 10 lbs each month",2,2,"recurrance",7,7,10,7,5,6,6,7,7,4,1,4,1,6,5,6,3,5,5,3,1,6,7,7,6,6,5,2,5,5,7,7,3,2,6,6,7,7,3,6,7
"A30HUZHJBOX1LK",2,"I intend to walk on the treadmill 6 hours each week",2,2,"recurrance",6,7,9,3,6,6,7,5,7,3,1,6,1,6,6,7,3,6,5,3,1,6,6,6,6,6,5,2,2,4,7,5,2,2,6,6,6,7,3,5,7
"A4BDXOXC4D8FX",1,"My goal is to buy a car.",3,3,"short-term",7,7,11,7,7,7,7,7,7,6,1,1,7,7,5,5,NA,7,1,1,2,1,7,7,7,6,7,5,7,1,7,1,1,5,7,7,7,7,3,4,7
"A4BDXOXC4D8FX",2,"My goal is to become a successful livestreamer.",3,3,"short-term",7,7,10,7,7,7,7,7,7,1,1,1,7,7,4,7,NA,1,1,1,2,7,7,7,7,6,7,6,1,4,7,5,1,2,7,7,7,7,3,4,6
"A4BDXOXC4D8FX",3,"My goal is to eat healthier.",3,3,"recurrance",7,7,11,1,7,7,5,7,7,7,1,1,1,7,3,2,1,7,1,1,1,7,7,7,7,6,1,1,1,4,7,1,1,3,6,7,7,7,2,6,3
"A3AJJHOAV7WIUQ",1,"My goal is to catch up on my bills in the next three months.",3,3,"short-term",6,7,10,7,5,6,7,5,6,5,4,3,4,6,4,6,2,5,7,3,2,6,6,5,7,6,6,2,6,7,7,3,3,3,7,6,7,6,3,7,5
"A3AJJHOAV7WIUQ",2,"My goal is to quit smoking in 2021.",3,3,"long-term",5,7,6,7,7,6,7,5,5,7,4,4,5,7,6,5,2,7,3,3,2,7,6,3,7,8,6,2,7,7,4,5,3,5,7,5,7,6,4,6,4
"A3AJJHOAV7WIUQ",3,"My goal is to walk for at least 45 minutes every day for the next two weeks.",3,3,"short-term",6,7,8,3,5,6,6,6,6,5,3,5,5,5,4,4,3,4,5,3,1,7,6,6,6,6,6,3,4,7,6,5,3,4,5,5,6,5,3,6,4
"AS2MFSWNC5CQI",1,"Save more money towards early retirement by the time I'm 40",4,4,"long-term",7,7,11,4,7,7,7,7,7,2,3,5,7,7,7,7,3,1,1,1,2,7,7,7,7,8,7,1,1,4,7,6,1,1,7,7,7,7,4,7,7
"AS2MFSWNC5CQI",2,"Save more money and buy a small but nice house out right.",4,4,"long-term",7,7,11,7,7,6,7,7,7,7,4,5,6,7,4,7,3,7,1,1,2,7,7,7,7,8,7,1,7,7,7,7,1,1,7,7,7,7,4,5,7
"AS2MFSWNC5CQI",3,"Have the money put together to go on a nice family vacation and stay in a cabin in the mountains.",4,4,"long-term",4,7,9,7,5,3,4,7,5,4,3,1,1,7,3,4,1,7,1,1,1,4,5,7,4,6,1,7,4,4,4,5,1,1,4,7,5,7,3,3,7
"AS2MFSWNC5CQI",4,"Keep exercising and working to loose 30 pounds.",4,4,"long-term",5,7,2,1,5,5,7,6,4,7,1,1,4,7,5,3,1,4,1,3,1,4,3,5,4,6,3,1,4,3,3,1,1,7,4,5,4,7,3,2,3
"A3VYBAO7UQQHGC",1,"My goal is lose five pounds by the end of April.",3,3,"short-term",5,7,9,4,6,6,7,5,6,7,1,2,2,7,4,6,3,2,2,1,2,4,5,5,5,1,5,4,5,4,7,4,2,2,6,6,4,7,2,4,2
"A3VYBAO7UQQHGC",2,"My goal is to contribute $5000 to my retirement fund by the end of May.",3,3,"short-term",7,4,10,7,6,7,7,7,7,4,1,4,3,7,4,6,3,1,4,1,1,7,7,7,7,6,7,4,4,7,7,4,1,1,7,7,7,7,3,6,1
"A3VYBAO7UQQHGC",3,"My goal is to publish my first short story by June.",3,3,"short-term",4,4,8,7,7,7,5,5,7,4,1,1,2,7,7,7,3,7,1,3,2,6,6,5,6,7,5,6,4,7,7,4,1,4,7,7,4,7,3,6,1
"A1G5EPLJEGL381",1,"My goal is by the end of the year, have $3K in my savings account and $3k in my checking account.",2,2,"long-term",4,7,9,6,7,6,6,7,6,5,2,6,6,6,4,6,3,1,1,1,2,5,7,7,6,4,7,7,5,7,7,2,1,1,4,7,6,7,4,4,3
"A1G5EPLJEGL381",2,"By the end of the year I want to be earning $400/mo through my part time job. ",2,2,"long-term",4,7,5,7,7,5,6,7,7,5,1,5,3,7,5,6,3,1,5,1,2,5,7,6,5,7,7,5,5,7,7,2,1,1,3,7,6,7,4,6,3
"A1CTUG0RUGCY48",1,"My primary goal is to complete renovations on our new home and move into the home before winter. ",1,1,"long-term",6,7,11,5,7,5,7,6,7,4,1,1,6,6,5,6,1,7,4,1,2,4,6,6,7,7,7,1,2,4,7,6,1,3,7,6,5,6,3,4,7
"A6R5AQ4D638BH",1,"Learn new programming techniques for a new mobile game idea",3,3,"long-term",7,7,10,5,7,7,3,7,7,1,1,1,4,7,6,6,1,7,3,1,1,6,7,7,7,6,5,7,1,6,6,7,5,1,3,7,6,6,3,5,5
"A6R5AQ4D638BH",2,"Learn more advanced cooking techniques",3,3,"short-term",7,7,10,5,7,7,5,7,6,7,1,4,5,7,4,6,2,5,1,1,1,5,6,7,6,7,5,6,1,5,7,7,4,1,3,6,7,7,3,5,7
"A6R5AQ4D638BH",3,"Exercise more regularly to lose weight",3,3,"short-term",7,7,11,6,7,7,7,7,7,7,1,4,4,7,3,7,2,NA,5,2,1,7,7,7,7,6,4,4,4,7,7,7,5,1,5,7,7,7,3,7,7
