"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"Boost networking abilities","Instrumentality",6.5,6.5,NA,NA,NA,NA,NA,NA
"Boost networking abilities","Measurability",2,2.5,NA,NA,NA,NA,NA,NA
"Boost networking abilities","Value",4.28571428571429,4.14285714285714,NA,NA,NA,NA,NA,NA
"Bring my weight down to 125 pounds by end of May.","Attainability",NA,NA,3,NA,NA,1,NA,NA
"Bring my weight down to 125 pounds by end of May.","Consensus",NA,NA,3.75,NA,NA,2.25,NA,NA
"Bring my weight down to 125 pounds by end of May.","External",NA,NA,3.75,NA,NA,6,NA,NA
"Bring my weight down to 125 pounds by end of May.","Instrumentality",NA,NA,5,NA,NA,4.5,NA,NA
"Bring my weight down to 125 pounds by end of May.","Measurability",NA,NA,7,NA,NA,6.5,NA,NA
"Bring my weight down to 125 pounds by end of May.","Value",NA,NA,4.57142857142857,NA,NA,5.14285714285714,NA,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Attainability",NA,NA,NA,NA,3.25,NA,3.5,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Consensus",NA,NA,NA,NA,0.75,NA,1,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","External",NA,NA,NA,NA,2.2,NA,4,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Instrumentality",NA,NA,NA,NA,6,NA,4.5,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Measurability",NA,NA,NA,NA,6,NA,4.5,NA
"Build a social media presence for my print on demand business, stalled at 233 followers would like 300 by 3 months","Value",NA,NA,NA,NA,4.85714285714286,NA,3.85714285714286,NA
"Buy $500 of silver either physical or ETF's per month","Attainability",NA,NA,NA,0.5,3.5,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","Consensus",NA,NA,NA,0.75,0.75,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","External",NA,NA,NA,2.2,3.8,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","Instrumentality",NA,NA,NA,3.5,5,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","Measurability",NA,NA,NA,5,7,NA,NA,NA
"Buy $500 of silver either physical or ETF's per month","Value",NA,NA,NA,3,3.85714285714286,NA,NA,NA
"Buy a new 65inch 4k TV","Attainability",0.5,NA,NA,NA,5.75,NA,NA,NA
"Buy a new 65inch 4k TV","Consensus",0.75,NA,NA,NA,0.75,NA,NA,NA
"Buy a new 65inch 4k TV","External",2.2,NA,NA,NA,3.4,NA,NA,NA
"Buy a new 65inch 4k TV","Instrumentality",4,NA,NA,NA,3,NA,NA,NA
"Buy a new 65inch 4k TV","Measurability",5,NA,NA,NA,3,NA,NA,NA
"Buy a new 65inch 4k TV","Value",1.57142857142857,NA,NA,NA,1.66666666666667,NA,NA,NA
"buy another home in six months","Attainability",NA,NA,0,NA,NA,NA,1,NA
"buy another home in six months","Consensus",NA,NA,3.66666666666667,NA,NA,NA,1,NA
"buy another home in six months","External",NA,NA,3.6,NA,NA,NA,2,NA
"buy another home in six months","Instrumentality",NA,NA,6,NA,NA,NA,4.5,NA
"buy another home in six months","Measurability",NA,NA,6.5,NA,NA,NA,3.5,NA
"buy another home in six months","Value",NA,NA,4.2,NA,NA,NA,4,NA
"Buy more bitcoin","Attainability",NA,NA,4,NA,NA,NA,NA,4.66666666666667
"Buy more bitcoin","Consensus",NA,NA,0.75,NA,NA,NA,NA,1.75
"Buy more bitcoin","External",NA,NA,1.5,NA,NA,NA,NA,2
"Buy more bitcoin","Instrumentality",NA,NA,3.5,NA,NA,NA,NA,4.5
"Buy more bitcoin","Measurability",NA,NA,3.5,NA,NA,NA,NA,2.5
"Buy more bitcoin","Value",NA,NA,2.85714285714286,NA,NA,NA,NA,3.42857142857143
"By the end of the year I want to be earning $400/mo through my part time job.","Attainability",5.66666666666667,NA,NA,NA,2.5,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","Consensus",1.25,NA,NA,NA,2,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","External",1.8,NA,NA,NA,4,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","Instrumentality",3,NA,NA,NA,6,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","Measurability",4.5,NA,NA,NA,5.5,NA,NA,NA
"By the end of the year I want to be earning $400/mo through my part time job.","Value",3.14285714285714,NA,NA,NA,4.85714285714286,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Attainability",2,4.5,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Consensus",-0.25,1.25,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","External",3.6,3.8,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Instrumentality",4,4.5,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Measurability",4,4,NA,NA,NA,NA,NA,NA
"Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","Value",3.42857142857143,4.42857142857143,NA,NA,NA,NA,NA,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Attainability",NA,NA,NA,NA,3.75,NA,3.25,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Consensus",NA,NA,NA,NA,2,NA,1.5,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","External",NA,NA,NA,NA,7,NA,6.4,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Instrumentality",NA,NA,NA,NA,3,NA,3.5,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Measurability",NA,NA,NA,NA,2.5,NA,4.5,NA
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Value",NA,NA,NA,NA,5.85714285714286,NA,5.42857142857143,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Attainability",NA,5,NA,NA,5.25,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Consensus",NA,-0.25,NA,NA,0.5,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","External",NA,2.2,NA,NA,1.6,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Instrumentality",NA,4.5,NA,NA,4,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Measurability",NA,6,NA,NA,6.5,NA,NA,NA
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Value",NA,4.28571428571429,NA,NA,3.57142857142857,NA,NA,NA
"Complete art project involving framing of old National Geographic magazines by end of May.","Attainability",NA,NA,8.5,NA,NA,NA,NA,6.66666666666667
"Complete art project involving framing of old National Geographic magazines by end of May.","Consensus",NA,NA,-1.5,NA,NA,NA,NA,0.25
"Complete art project involving framing of old National Geographic magazines by end of May.","External",NA,NA,NA,NA,NA,NA,NA,2
"Complete art project involving framing of old National Geographic magazines by end of May.","Instrumentality",NA,NA,7,NA,NA,NA,NA,4.5
"Complete art project involving framing of old National Geographic magazines by end of May.","Measurability",NA,NA,6,NA,NA,NA,NA,5
"Complete art project involving framing of old National Geographic magazines by end of May.","Value",NA,NA,3.6,NA,NA,NA,NA,3.28571428571429
"complete my garden","Attainability",NA,NA,NA,NA,NA,2.5,3.75,NA
"complete my garden","Consensus",NA,NA,NA,NA,NA,1.25,-0.5,NA
"complete my garden","External",NA,NA,NA,NA,NA,4.6,2,NA
"complete my garden","Instrumentality",NA,NA,NA,NA,NA,5,3.5,NA
"complete my garden","Measurability",NA,NA,NA,NA,NA,3.5,2,NA
"complete my garden","Value",NA,NA,NA,NA,NA,4.28571428571429,2.85714285714286,NA
"Complete some home repairs in the next 6 months","Attainability",NA,NA,NA,NA,NA,NA,2.75,4.66666666666667
"Complete some home repairs in the next 6 months","Consensus",NA,NA,NA,NA,NA,NA,2.75,2
"Complete some home repairs in the next 6 months","External",NA,NA,NA,NA,NA,NA,5.2,4.6
"Complete some home repairs in the next 6 months","Instrumentality",NA,NA,NA,NA,NA,NA,4,2.5
"Complete some home repairs in the next 6 months","Measurability",NA,NA,NA,NA,NA,NA,3,3
"Complete some home repairs in the next 6 months","Value",NA,NA,NA,NA,NA,NA,3.42857142857143,3.85714285714286
"Continue learning German on Duolingo. Earn at least 20 units every day,","Attainability",NA,NA,NA,NA,5,4,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","Consensus",NA,NA,NA,NA,0.5,2.25,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","External",NA,NA,NA,NA,3,4.6,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","Instrumentality",NA,NA,NA,NA,5,5,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","Measurability",NA,NA,NA,NA,7,6,NA,NA
"Continue learning German on Duolingo. Earn at least 20 units every day,","Value",NA,NA,NA,NA,4.85714285714286,4.71428571428571,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Attainability",NA,4.5,3.25,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Consensus",NA,1.25,4.33333333333333,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","External",NA,3,5.33333333333333,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Instrumentality",NA,4,6.5,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Measurability",NA,6.5,6.5,NA,NA,NA,NA,NA
"Continue making money on Mechanical Turk. Goal is to earn $200 a month.","Value",NA,3.14285714285714,4.25,NA,NA,NA,NA,NA
"Cut back on drinking soda/carbonated drinks.","Attainability",NA,NA,NA,4,NA,NA,NA,6.66666666666667
"Cut back on drinking soda/carbonated drinks.","Consensus",NA,NA,NA,3.5,NA,NA,NA,1.75
"Cut back on drinking soda/carbonated drinks.","External",NA,NA,NA,3.4,NA,NA,NA,2.2
"Cut back on drinking soda/carbonated drinks.","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,3.5
"Cut back on drinking soda/carbonated drinks.","Measurability",NA,NA,NA,4.5,NA,NA,NA,3.5
"Cut back on drinking soda/carbonated drinks.","Value",NA,NA,NA,2.85714285714286,NA,NA,NA,3.28571428571429
"declutter and organize the house every week","Attainability",NA,5.75,NA,NA,NA,NA,4.75,NA
"declutter and organize the house every week","Consensus",NA,1.5,NA,NA,NA,NA,2,NA
"declutter and organize the house every week","External",NA,3.4,NA,NA,NA,NA,4.2,NA
"declutter and organize the house every week","Instrumentality",NA,3.5,NA,NA,NA,NA,4.5,NA
"declutter and organize the house every week","Measurability",NA,2.5,NA,NA,NA,NA,4,NA
"declutter and organize the house every week","Value",NA,4.57142857142857,NA,NA,NA,NA,3.71428571428571,NA
"Diversify my investment Strategy","Attainability",NA,NA,NA,2.75,4,NA,NA,NA
"Diversify my investment Strategy","Consensus",NA,NA,NA,1.5,1.75,NA,NA,NA
"Diversify my investment Strategy","External",NA,NA,NA,1.8,1,NA,NA,NA
"Diversify my investment Strategy","Instrumentality",NA,NA,NA,3.5,3.5,NA,NA,NA
"Diversify my investment Strategy","Measurability",NA,NA,NA,2.5,1,NA,NA,NA
"Diversify my investment Strategy","Value",NA,NA,NA,2.28571428571429,3.85714285714286,NA,NA,NA
"dream job","Attainability",NA,5,NA,1,NA,NA,NA,NA
"dream job","Consensus",NA,2.5,NA,2,NA,NA,NA,NA
"dream job","External",NA,3.2,NA,2.2,NA,NA,NA,NA
"dream job","Instrumentality",NA,6,NA,4.5,NA,NA,NA,NA
"dream job","Measurability",NA,2.5,NA,2,NA,NA,NA,NA
"dream job","Value",NA,6.14285714285714,NA,2.4,NA,NA,NA,NA
"Drink 64 oz water every day","Attainability",NA,NA,NA,NA,NA,NA,5.5,6.33333333333333
"Drink 64 oz water every day","Consensus",NA,NA,NA,NA,NA,NA,2.75,1.25
"Drink 64 oz water every day","External",NA,NA,NA,NA,NA,NA,3,2.2
"Drink 64 oz water every day","Instrumentality",NA,NA,NA,NA,NA,NA,5,4.5
"Drink 64 oz water every day","Measurability",NA,NA,NA,NA,NA,NA,6,6
"Drink 64 oz water every day","Value",NA,NA,NA,NA,NA,NA,3.57142857142857,3.28571428571429
"Earn an average of $20/week at Mechanical Turk.","Attainability",NA,NA,3,NA,NA,NA,NA,6
"Earn an average of $20/week at Mechanical Turk.","Consensus",NA,NA,4.5,NA,NA,NA,NA,1.5
"Earn an average of $20/week at Mechanical Turk.","External",NA,NA,4,NA,NA,NA,NA,3
"Earn an average of $20/week at Mechanical Turk.","Instrumentality",NA,NA,7,NA,NA,NA,NA,2.5
"Earn an average of $20/week at Mechanical Turk.","Measurability",NA,NA,7,NA,NA,NA,NA,5
"Earn an average of $20/week at Mechanical Turk.","Value",NA,NA,4.2,NA,NA,NA,NA,3
"Earn an extra $500 every month to pay towards savings","Attainability",NA,NA,NA,NA,NA,2,2,NA
"Earn an extra $500 every month to pay towards savings","Consensus",NA,NA,NA,NA,NA,2.75,3.25,NA
"Earn an extra $500 every month to pay towards savings","External",NA,NA,NA,NA,NA,4.6,3.8,NA
"Earn an extra $500 every month to pay towards savings","Instrumentality",NA,NA,NA,NA,NA,5,4.5,NA
"Earn an extra $500 every month to pay towards savings","Measurability",NA,NA,NA,NA,NA,5.5,6.5,NA
"Earn an extra $500 every month to pay towards savings","Value",NA,NA,NA,NA,NA,4.42857142857143,4.28571428571429,NA
"Earn more money on the stock market","Attainability",1.5,NA,NA,NA,NA,NA,NA,3.66666666666667
"Earn more money on the stock market","Consensus",1.5,NA,NA,NA,NA,NA,NA,2.75
"Earn more money on the stock market","External",1,NA,NA,NA,NA,NA,NA,4.4
"Earn more money on the stock market","Instrumentality",4.5,NA,NA,NA,NA,NA,NA,4
"Earn more money on the stock market","Measurability",4.5,NA,NA,NA,NA,NA,NA,2.5
"Earn more money on the stock market","Value",2.71428571428571,NA,NA,NA,NA,NA,NA,4.28571428571429
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Attainability",NA,NA,NA,NA,NA,2.5,3.25,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Consensus",NA,NA,NA,NA,NA,2.75,0.5,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","External",NA,NA,NA,NA,NA,5,3,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Instrumentality",NA,NA,NA,NA,NA,4,4.5,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Measurability",NA,NA,NA,NA,NA,6.5,5.5,NA
"Eat at least 5 servings of fruits/vegetables 6 days a week.","Value",NA,NA,NA,NA,NA,4.14285714285714,4.57142857142857,NA
"Eat healthier meals.","Attainability",NA,NA,NA,3.5,NA,NA,NA,5.33333333333333
"Eat healthier meals.","Consensus",NA,NA,NA,2.75,NA,NA,NA,3
"Eat healthier meals.","External",NA,NA,NA,2.6,NA,NA,NA,4
"Eat healthier meals.","Instrumentality",NA,NA,NA,3.5,NA,NA,NA,4
"Eat healthier meals.","Measurability",NA,NA,NA,3,NA,NA,NA,3
"Eat healthier meals.","Value",NA,NA,NA,2.71428571428571,NA,NA,NA,4.28571428571429
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Attainability",NA,NA,NA,NA,NA,4,NA,6
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Consensus",NA,NA,NA,NA,NA,2.75,NA,3
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","External",NA,NA,NA,NA,NA,5.2,NA,3.8
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Instrumentality",NA,NA,NA,NA,NA,5,NA,3
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Measurability",NA,NA,NA,NA,NA,5.5,NA,6
"Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Value",NA,NA,NA,NA,NA,4.71428571428571,NA,4.57142857142857
"eat more leafy vegetables","Attainability",NA,6,NA,NA,NA,3.5,NA,NA
"eat more leafy vegetables","Consensus",NA,2.5,NA,NA,NA,2.75,NA,NA
"eat more leafy vegetables","External",NA,3.2,NA,NA,NA,4.8,NA,NA
"eat more leafy vegetables","Instrumentality",NA,4,NA,NA,NA,4.5,NA,NA
"eat more leafy vegetables","Measurability",NA,3,NA,NA,NA,4,NA,NA
"eat more leafy vegetables","Value",NA,2.85714285714286,NA,NA,NA,4.14285714285714,NA,NA
"Eating healthy from now on.","Attainability",NA,NA,NA,NA,5,1.25,NA,NA
"Eating healthy from now on.","Consensus",NA,NA,NA,NA,4.5,3.5,NA,NA
"Eating healthy from now on.","External",NA,NA,NA,NA,4.6,5.6,NA,NA
"Eating healthy from now on.","Instrumentality",NA,NA,NA,NA,4.5,5.5,NA,NA
"Eating healthy from now on.","Measurability",NA,NA,NA,NA,1,2.5,NA,NA
"Eating healthy from now on.","Value",NA,NA,NA,NA,5.42857142857143,5.28571428571429,NA,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Attainability",NA,NA,NA,NA,3.75,NA,3.5,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Consensus",NA,NA,NA,NA,1.25,NA,2.75,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","External",NA,NA,NA,NA,6.2,NA,5.8,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Instrumentality",NA,NA,NA,NA,4.5,NA,3.5,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Measurability",NA,NA,NA,NA,1.5,NA,5,NA
"Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Value",NA,NA,NA,NA,5.14285714285714,NA,5.57142857142857,NA
"Every day I was to exercise more.","Attainability",NA,5.5,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","Consensus",NA,2.5,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","External",NA,3.2,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","Instrumentality",NA,5.5,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","Measurability",NA,4,NA,NA,NA,NA,NA,NA
"Every day I was to exercise more.","Value",NA,4.28571428571429,NA,NA,NA,NA,NA,NA
"every day weigh my food instead of estimating","Attainability",NA,NA,NA,4,NA,NA,4.5,NA
"every day weigh my food instead of estimating","Consensus",NA,NA,NA,2.25,NA,NA,0,NA
"every day weigh my food instead of estimating","External",NA,NA,NA,3,NA,NA,2.2,NA
"every day weigh my food instead of estimating","Instrumentality",NA,NA,NA,4,NA,NA,3.5,NA
"every day weigh my food instead of estimating","Measurability",NA,NA,NA,4.5,NA,NA,6,NA
"every day weigh my food instead of estimating","Value",NA,NA,NA,2,NA,NA,3.28571428571429,NA
"Every week I want to save money and grow my bank account.","Attainability",NA,4.5,NA,NA,NA,2,NA,NA
"Every week I want to save money and grow my bank account.","Consensus",NA,2,NA,NA,NA,3.5,NA,NA
"Every week I want to save money and grow my bank account.","External",NA,2,NA,NA,NA,4.4,NA,NA
"Every week I want to save money and grow my bank account.","Instrumentality",NA,6,NA,NA,NA,4.5,NA,NA
"Every week I want to save money and grow my bank account.","Measurability",NA,4.5,NA,NA,NA,3.5,NA,NA
"Every week I want to save money and grow my bank account.","Value",NA,4.28571428571429,NA,NA,NA,4.71428571428571,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Attainability",NA,NA,NA,4.25,NA,3.75,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Consensus",NA,NA,NA,3.25,NA,2,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","External",NA,NA,NA,3.2,NA,4,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Instrumentality",NA,NA,NA,4.5,NA,4,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Measurability",NA,NA,NA,5,NA,5.5,NA,NA
"Exercise (walk) 30 minutes per day 3 or 4 days a week.","Value",NA,NA,NA,3.28571428571429,NA,3.14285714285714,NA,NA
"Exercise 30 mins daily","Attainability",2.75,NA,NA,2.75,NA,NA,NA,NA
"Exercise 30 mins daily","Consensus",3.25,NA,NA,3.25,NA,NA,NA,NA
"Exercise 30 mins daily","External",1.4,NA,NA,3,NA,NA,NA,NA
"Exercise 30 mins daily","Instrumentality",4,NA,NA,3.5,NA,NA,NA,NA
"Exercise 30 mins daily","Measurability",4,NA,NA,5,NA,NA,NA,NA
"Exercise 30 mins daily","Value",2.85714285714286,NA,NA,3.28571428571429,NA,NA,NA,NA
