"goal_list_1","goal_list_2","goal_list_3","goal_list_4","goal_list_5","MTurkCode"
"My goal is to buy a house in the next 3 months.","I would like my weight to go below 200 pounds within 3 months.","I would like to spend at least 30 minutes a week looking for a part time job.","My goal is to pray and read scriptures everyday.","","A1720HSKGQ41VJ"
"I want to improve my body composition by losing fat and building muscle","I want to increase my monthly income with smart investing.","","","","A26NGLGGFTATVN"
"I intend to lose 30 lbs in the next 3 months, 10 lbs each month","I intend to walk on the treadmill 6 hours each week","","","","A30HUZHJBOX1LK"
"My goal is to buy a car.","My goal is to become a successful livestreamer.","My goal is to eat healthier.","","","A4BDXOXC4D8FX"
"My goal is to catch up on my bills in the next three months.","My goal is to quit smoking in 2021.","My goal is to walk for at least 45 minutes every day for the next two weeks.","","","A3AJJHOAV7WIUQ"
"Save more money towards early retirement by the time I'm 40","Save more money and buy a small but nice house out right.","Have the money put together to go on a nice family vacation and stay in a cabin in the mountains.","Keep exercising and working to loose 30 pounds.","","AS2MFSWNC5CQI"
"My goal is lose five pounds by the end of April.","My goal is to contribute $5000 to my retirement fund by the end of May.","My goal is to publish my first short story by June.","","","A3VYBAO7UQQHGC"
"My goal is by the end of the year, have $3K in my savings account and $3k in my checking account.","By the end of the year I want to be earning $400/mo through my part time job. ","","","","A1G5EPLJEGL381"
"My primary goal is to complete renovations on our new home and move into the home before winter. ","","","","","A1CTUG0RUGCY48"
"Learn new programming techniques for a new mobile game idea","Learn more advanced cooking techniques","Exercise more regularly to lose weight","","","A6R5AQ4D638BH"
"My goal is to study hard for the MCAT and get a score above 520 within the next three months.","My goal is to gain muscle mass in body for the remainder for this year.","My goal is to loss as much fat as possible for the next month.","","","A2KOR4003SVNC5"
"My goal is to find a higher paying, more satisfying job in my industry in the next three months.","My goal is to save over $1,000 in total over the next three months ","My goal is to stop eating candy and junk food for three months straight to improve my diet.","","","A1OJV3R8BH73BD"
"My goal is to finish painting my guest bedroom.","My goal is for my wife and I to get pregnant","My goal is to get a new car in three months","","","A3OUNEJO97MM8E"
"My goal is to take my lunch to work at least three times a week instead of eating out everyday.","My goal is to lose 20 pounds.","My goal is to finish the current semester with a 3.5 GPA or higher.","","","A7P3R1AIA4TVV"
"My goal is to be rid of my hard cast on my left foot/leg and finish physical rehab within 3 months.","My goal is to make at least $4000 between my prolific and MTurk accounts over the next 3 months. ","My goal is to eliminate milk products from my diet fully over the next three months. ","","","A121T4P5NKCHCS"
"My goal is to lose 20 pounds in six months","My goal is to drink no more than one sugary drink/cola a day until July 1st","My goal is to save to have bought half a bitcoin by July 1st","My goal is use mindfulness once a day for 90 days, starting April 1st","","A3NLSGHK6RFXA8"
"I have a goal to lose 20 pounds in the next three months.","Another goal is to move from Washington to Texas within the next three months.","I want to be debt free in the next few months.","","","AOS2PVHT2HYTL"
"My goal is to replace the privacy fence and front fence in my yard within the next three months. ","My goal is to make and save enough money for a new pair of glasses in the next month.","My goal is to help my neighbor find a new job in the next month.","","","A1TPGXT718D68E"
"My goal is to pay off the credit card by June 15th.","My goal is to keep my disabled wife alive and as healthy as possible.","My goal is to get the gutters fixed and add Leaf Guard to them by June 1","My goal is to get the upstairs completely decluttered by August 1.","My goal is to get the yard cleaned up by April 15. ","AKX5RHHO8BIUX"
"I want to remodel my condo.","I would like to find a boyfriend.","I would like to pay off a lot of my credit card bills.","","","A26UAJWMMNN351"
"I currently  weigh 225 lbs. My goal weight is 195","I currently  work 50 to 60 hours per week. My goal is to retire and work remotely  as a consultant  less hours","","","","AM0QVBV8L6QCJ"
"To establish a bee hive colony in the backyard supported by flowering plants in my yard","Get more exercise by walking the dog at least 3 days a week for at least 30 minutes","Get rid of excess household possessions and donate useable goods to charity","","","A2X3FSFHV5GHJU"
"Increase number of steps per day to 10,000 in 3 months","Lose 20 pounds in 3 months by getting my weight below 220","Buy $500 of silver either physical or ETF's per month","","","A1F1TBDHPYAAXT"
"My goal is to replace the struts on my jeep with in the end of next month","","","","","AFMAFX0P2YRRV"
"To lose about 20 pounds ","To save up an additional 10k ","To get more organized & orderly at work and at home","","","A38BO0BRCQX6OV"
"I want to eat healthier at least once a day, every day.","I want to exercise at least twice a week, every week.","I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day. ","","","AIA7RZSAONU5M"
"my goal is to finish my own blog and get it launched","my goal is to save $3,000 in the next 3 months","pay off credit card debt","remodel office space","","A3SG2IL8GC93V7"
"I have a goal to have my shoulder problem healed in 3 months","My goal is to get my roof repaired in 2 years.","Another goal is to be financially independent in 5 years.","","","A2615YW1YERQBO"
"Jog three miles per day for five days during the week for a total of 15 miles per week.","Limit my caloric intake to 2,500 calories per day.","Walk three miles per day seven days a week for a total of 21 miles per week","","","A3OPRR8AXT6OSJ"
"I want to eat fruits and vegetables at least once a day.","I want to take a walk once a week.","","","","A1AIMKA54UBYIQ"
"My goal is to lose 30 lbs in the next 6 months.","My goal is to walk 10,000 steps per day","My goal is to workout in the gym at least twice a week","","","A286W816CMIZL9"
"My goal is to exercise every day.","My goal is to learn how to use my Cricut crafting machine in the next three months.","My goal is to eat less sugary foods.","","","A3HXM7BGH18FOW"
"Paying down my credit cards until they are done.","Eating healthy from now on.","Losing weight until I reach my goal weight.","Exercising and walking more to strengthen my lungs.","","A770OB1ZAGJ4G"
"My goal is to reach my goal weight of 170 in the next three months.","My goal is to drink three bottles of water or six cups of water every day.","My goal is to exercise every other day.","","","A17KN7NAP48L4B"
"To move to Gulf Shores, Alabama by the beginning of Summer 2021","To lose 20 pounds before the beginning of Summer 2021","To try and pay off all of my credit cards before the beginning of Summer 2021","","","A110BZSDZN7E16"
"I want to spend much more time reading my Bible and praying tp God.","I have been trying to learn to play piano. ","I am striving to be a much better wife.","I want to manage my time better.","","A1X388C6SDCDEY"
"My goal is to start doing cardio consistently at least 3 times per week.","My goal is to complete my scheduled weight training every day it's scheduled.","My goal is to tidy up my room on a weekly basis.","","","A1BSVEBYDZ0AAU"
"My goal is to make deans list in final semester.","My goal is to gain 15 pounds within 2 months.","My goal is to start dating and going out more.","","","A1D2ZSPIHOI23K"
"I have a goal of achieving my ideal body shape over the next 3 months","I have a goal of saving 50 dollars a month over the next 3 months","","","","A2VGFS03KCCR1Q"
"To get settled into a new house","To sell at least 15 cars a month","To lose 20 more pounds ","To build up a savings","To earn an extra $500 income from my regular income","AYA1LRB27KSR1"
"My goal is to finish installing deer fencing around my property within the next 3 months.","My goal is to lower my A1C test results (diabetes) in by June.","My goal is to build my greenhouse within the next 3 months.","","","A132GRVDGXPJGY"
"after rehab continue to strenghten my shoulders","walk more to increase back stamina","eat more leafy vegetables","get my child out of the house more","complete my garden ","A39H9RIYRB5ZYV"
"My goal is to create new content for Tiktok every other day.","My goal is to create emotes, sub badges, and banners for Twitch weekly.","My goal is to stream at least once a week.","","","A19YQU3ZZ8USPO"
"My goal is to lose 20 pounds in the next 90 days.","My goal is to save enough money to take my family to the beach this summer.","","","","A2EK1HDV4I4GSK"
"My goal is to exercise twice a week at minimum. ","My goal is to eat fruit or vegetables daily.","My goal is to purchase a new air conditioner within the next three months.","","","A11F3MA5FWH6SJ"
"To keep learing new skill on Premier Pro. I want to learn how to do better transitions.","Finish writing my third book. By June.","Find a good place for my wedding. At least 2 possible locations within a month.","Improving my music sight reading skills. Continuously during the 3 months.","Learn how to use Adobe Photoshop. The basics within 2 months.","AHKRGPN5D3I2G"
"I plan to reduce my A1C by 2 points in 3 months.","I plan to stop eating sugar as much as possible for 3 months.","I plan to save $200 per month","I plan to reduce credit card bill by $150 per month.","I plan to do therapy exercises twice a week.","A1CI5U3BLQ2DDS"
"To successfully get both shots of the coronavirus vaccine within the next six months.","To earn one thousand dollars a month of income doing side work on sites like Mturk.","To completely avoid eating any gluten in my diet, or at least under 20 PPM of gluten for every meal for the next six month","","","A302KOFOYLD89A"
"Finish and sell my van conversion in two months","lose 15 pounds in three months","Make improvements to my home and get read to rent it out in five months","buy another home in six months","find a new girlfriend within three months","A3GI28OVLDI9ST"
"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.","I want to purchase a new vehicle for my family within the next couple of months.","I want to pay off all credit card debt before the Christmas season begins.","","","A3PSV85ZUXP9VF"
"My goal is to get up to walking 5 miles each week in 3 months","My goal is save 500 dollars in my account in 3 months.","My goal is to increase my drinking of water from none to 64 ounces in 3 month.","My goal is to read half of the bible in 3 months.","My goal is to have my gardening spots in my yard complete in 3 months.","A2ZGAH6NOSU2PO"
"My goal is to lose 30 pounds in the next 3 months","My goal is to exercise 3x /week","My goal is to increase my credit score","","","A30FIPRPFQRBO6"
"Drink 64 oz water every day","Exercise 5 times a week ","Write at least 5 hours a week ","Pay off credit card ","Save money for new kitchen and living room floor ","AKMOBFEEKW378"
"I want to get more exercise.","I want to eat healthier.","","","","A18SXC3JEN1O0U"
"finish painting my office","finish painting the white trim on the exterior of my house","pay off $1000 of debt in 3 months","hang drywall and paint in laundry room ceiling","","A198MSVO1VTAT5"
"My goal is to buy a house in the next 6 months.","My goal is to lose 20 pounds in the next two months.","","","","A1MJWY7UO3CDSM"
"My goal is to earn at least $15 every day on MTurk.","My goal is to save at least $20 every month. ","","","","A2CP6MLJVJYBO7"
"My goal is to lose 15 pounds. I think it'll take about 2 months","My goal is to take a trip outside the U.S. I think it'll take 3 months. ","My goal is to buy a new computer. I think it'll take a month. ","","","AQMLJYUQCSG22"
"My goal is to save enough by the end of the year to pay off all of my bills","My goal is to take a vacation in the summer.","","","","A6JUD4NCQCDWG"
"Find a fence contractor and complete the fencing at rental house before end of May..","Earn an average of $20/week at Mechanical Turk.","Bring my weight down to 125 pounds by end of May.","In May, return to watercolor class and practice an additional day each week.","Read at least 3 books in April, May and June. ","A2HQMB1GSEADL"
"To get nothing lower than an A- for spring quarter which ends in three months. ","To eat a serving of fruits and vegetables every day.","To get 60 minutes of exercise every day.","","","A1WS9UHL45VZ0X"
"I want to make at least an extra $75 a week to help address loss of income due to COVID.","I want to lose 10 pounds in the next three months.","I want to have at least 30 minutes of vigorous activity at least 4 times a week.","I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).","","AADRZTXSE7211"
"Earn more money on the stock market","Buy more bitcoin","walk 30 minutes per day","Get a better paying job","save 10% of my earnings ","A1ABL45KAK12A5"
"I would like to pursue a teaching job at a campus close to my home before the 2021/2022 semester.","I would like to save at least $300 more dollars in my brokerage account by then end of three months.","I would like to save for an purchase necessary backpacking and camping gear by the beginning of July 1, 2021. ","I would like to save for and take a major vacation in July, preferable to an outdoor location.  ","I would like to scan and digitalize all of my physical photographs in order to preserve them and do this by the end of summer 2021. ","A2W0G89O7E9EFO"
"My goal is to exercise at least two times each week.","My goal is to lose 15 pounds in the next three months.","My goals is to save $250 each month.","My goal is to eat more fruits and vegetables each week.","","A38DHLB88V8DL8"
"My goal is to save $200 per month.","My goal is to run twice a week.","My goal is to write at least once a week.","My goal is to post on my bucket list Instagram at least four times a week.","My goal is to lift weights five times a week.","A1WJYF201K77BI"
"My goal is to make time for art and to create every day","My goal is to have an Etsy store open in three months","My goal is to meditate every day to reduce my stress","","","AF0W4ZBY7VXOU"
"I would like to attempt to write a novel in a new narrative style that is new to me and differs from previous works. ","I would like to make preparations before May 15th for a possible disruption in the supply chain.  ","I would like to sort and remove all traces of toddler and baby items in my home as my children are all older now. I would also like to redecorate my home to coincide with having older children.","","","A2H6Q22X1V1FTX"
"add at least $2000 to IRA account","get Covid 19 vaccine asap","finish reading the Legends of the Dragonrealm series ","","","ANZNAAS2K0DSY"
"Lose weight. I need to lose weight to feel better about myself.","Get a job. I need a job to get more money.","","","","A2WZ8ZEB00LYF7"
"My goal is to make a total per month of $400.00 from my part time job in the next 6 months.","My goal is to do stretching exercises on a daily basis (everyday).","My goal is to get my home organized within the next 3 months.","","","A321WQIFK10UV3"
"My goal is to save $1500 a month. ","My goal is to exercise every day. ","My goal is to make $1000 on MTurk per month. ","","","A18JNQE5GZQIX5"
"My goal is to quit drinking sodas everyday","My goal is lose 20 pounds in three months","My goal is to eat healthier everyday","My goal is to maintain an A average this semester","My goal is to drink more water everyday","AXF0OX50YZQC6"
"My goal is to exercise four times a week for at least an hour.","My goal is to put at least 10,000 dollars a year into my retirement account","My goal is eat healthier this year. ","","","A2VGEE0ZIZ8CBQ"
"Quit Smoking this year","Save 100 dollars a week for emergencies","Remodel my bathroom by June 30th 2021","","","ADYMIMV1PE14V"
"My goal is to place a new house on property that I have purchased","My goal is to stop drinking even though I rarely do.","My goal is to find a better job in a location I have just moved to.","","","A36HFMF9Z4BGS8"
"My goal is to exercise at least once a week.","My goal is to start finishing up projects left undone on the house in the next month.","My goal is to see my grandchildren at least once a week.","My goal is to lose at least 5 pounds before summer.","My goal is to spend less than I do now on groceries for the month.","A1RWNYJA5X25YH"
"Get straight As in school","","","","","A3UUH3632AI3ZX"
"My goal is to receive the COVID-19 vaccine within two months","My goal is to get adjusted back into my old routine of working and having an active social life within the next six months","","","","A34VLM2UC0JY11"
"My goal is to save $400 for the Strixhaven release of Magic: The Gathering in the next 4 weeks.","My goal is to lose 12 lbs in the next three months.","","","","ASY5W2HJPIPF4"
"My goal is to lose 17 pounds within the next three months.","My goal is to read one act of a Shakespeare play each day.","My goal is to write two pages of prose each day.","My goal is to create and maintain a shopping/meal plan over the next three months.","My goal is to be fully prepared for my friend's wedding, in which I'm the best man (so write speech, plan bachelor party) etc by the end of the next three months.","A2SFFO79KSG5VA"
"I want to move out of my apartment and into a home.","I want to finish my novel.","","","","A1T83SZBP2DN65"
"My goal is to complete twenty sit ups in a row, unassisted.","My goal is to complete twenty squats in a row, unassisted.","My goal is to complete five minutes of intense peddling on a riding device.","My goal is to complete five minutes of intense rowing on a rowing device.","My goal is to complete 90 intense body twists on a seated device.","AVKMFV9CZ0MLR"
"Pay off credit card debt in the next 2 years","Complete some home repairs in the next 6 months","Lose 10 to 20 pounds in the next 6 months","","","A3OAXRZT3MVJML"
"My goal is to build up my savings account by saving around $100 every week.","I want to achieve a goal of exercising for 30 minutes or more every day.","I want to lower my credit card debt by 50% by the end of 2021.","I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.","I want to lower my BMI by ten percent by the end of 2021.","A5E2P5F1AXYZ1"
"I want to finish paying my daughter's high school tuition by April 15, 2021. ","I want to visit my mother out of state, leaving her on or about June 1st.","I want to sell off the contents of my storage unit by May 1st.","I want to buy five more ounces of silver by May 30th.","I want to paint my dining room by May 1st.","A3GZXU4FUJTKZD"
"dream job","find love","take care of family","","","A13O22EMG5ZVN0"
"My goal is to increase my wealth over the next three months","My goal is to get a girlfriend within the next three months","My goal is to improve my upper body strength over the next three months","","","A207IHY6GERCFO"
"Finish Reading the Bible for my first time through","Start re-reading the Bible in conjunction with a study Bible","Find a new full-time job","Make $70/week on MTurk until I find a new job","Help my sister 1 day/week in her preschool (volunteer) until I find a new job","A225BMTMXUR5F4"
"I would like to complete a special project at work. ","I would like to complete my spring session discipleship class with perfect attendance","I would like to assemble the portable piano, treadmill and put up the mini-blinds.","I would like to read one scripture every for 3 months.  ","I would like to complete my course and be ready for an exam by july.  ","A1IBLFQ2E6VA2J"
"My goal is to pay off an extra thousand in credit card debt within the next few months. ","My goal is to lose twenty pounds by the start of summer in June.","My goal is to have my resume up to date to start applying for promotions or other positions within the month. ","","","AIHHRINW9IN1I"
"I want to increase my savings account to 20,000 by end of year.","I would like to get some botox and fillers before the end of year.","I would like to get my garden started by April.","","","A1Z2ZGPJRGG0G3"
"My goal is to eat 5 vegetables each day.","My goal is to lose 1 pound a week.","My goal is to run a mile each day.","My goal is to take my dog to the park each day.","My goal is to write a journal article each day.","A1CTJ8UT7SF317"
"My goal is to save at least $280 a month for the next 3 months.","My goal is to go for a walk at least 5 times a week for the next 3 months.","My goal is to lose at least 5 pounds in the next 3 months.","","","AU34T9OMHN4Z4"
"I will eat better, exercise daily, and lose 10 pounds in three months. ","I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.  ","I will be more outgoing and friendly and try to make at least one new friend in my new community.  ","","","A11ILN5YSUDVG8"
"My goal is to read at least ten pages in French every day.","My goal is to find a job in my field in the next three months.","My goal is to get into the habit of going for a walk every day.","My goal is to cut my soda intake in half in the next three months.","","A2GTBBZA2M82NR"
"Lose 15 pounds in four months","Reduce my spending to less than $300 every month","","","","AMTTB8JUWRRM7"
"My goal is to exercise 3 times a week on the treadmill for 30 minutes. ","My goal is to work on mturk at least 4 hours a day on weekdays. ","My goal is to help my daughter meet her IEP goals 5 days a week. ","","","AQAXDL1INQC9Q"
"My goal is to find a job within the next six months.","My goal is to exercise at least 5 days out the week.","My goal is to eat more healthier. ","","","AAHZCL4LIPCBQ"
"Gain a new skill ","Boost networking abilities","Star own business","Make a career switch","Improve sales","A2BEBDMQ7SI4IY"
"My goal is to work on my marriage and form a better relationship with my husband in the next three months.","My goal is to work out at least 4 days a week in the next three months.","My goal is to improve my credit score in the next three months.","My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.","My goal is to start thinking and feeling more positive everyday. ","A1RQUOVV8PCXBM"
"My goal is to go to the gym 3 times per week.","My goal is to save at least $500 per month.","My goal is to run a 5k by the end of the summer (August 2021).","","","A1LS7GARU7CD08"
"Start a yearly savings plan","Grow and Improve My financial knowledge","Diversify my investment Strategy","Exercise 30 mins daily","Buy a new 65inch 4k TV","A2FP41BSPG0Y4A"
"My goal is to keep going to the gym four times a week.","My goal is to maintain my current weight by eating healthy meals every week.","My goal is to save money out of every paycheck to pay off my car loan.","My goal is to save money to go away on a small trip by my birthday in June.","","AS6FM754MF2B2"
"My goal is to workout 4-6 days per week.","My goal is to move to a new house within the next month. ","My goal is to find a new girlfriend in the next 2 months","My goal is to continue to be vegan every day. ","","A10LHWALI4BZPC"
"I want to increase my income this year by 10 percent over last year.","I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.","I want to learn to speak Vietnamese.","","","A3989GRV3UV5VW"
"I want to lose 10-15 pounds over the next 3 months.","I want to earn at least $1500 every month from traditional means of income","","","","A1BG47GSHQ9WSU"
"My goal is to teach my dog to recognize numbers and quantities up to ten in three months.","My goal is to harvest tomatoes from my own vegetable garden in four months.","My goal is to lose 12 pounds in three months.","My goal is to make at least $400 every month on MTurk.","","A350SLJRMBIFM4"
"To finish saving money to get my roof repaired next month before the rainey season starts here in FL.","My goal is to go to the dentist to get the rest of my dental implants before summer.","Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.","","","A1BIJGB7XA0GME"
"Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.","Have raw vegetables (carrots, celery, broccoli, etc.) with my lunch sandwich at least 3 times a week.","Complete art project involving framing of old National Geographic magazines by end of May.","Have lunch with my cousin at least once a month for the rest of the year.","Save $5000 in my children's 529 Plans by the end of the year.","A5A14MTB35J23"
"Exercise for 60 minutes a day 5 times a week","Spend 1 hour a day completely unplugged with my kids","Earn an extra $500 every month to pay towards savings","","","A3EXD5E390Z6B3"
"I would like to become proficient in Python","I would like to keep my job remote","I would like to move to Washington","I would like to travel to Pakistan in the summer","I would like to make my mother happy","AP2C7YJ2DQBLO"
"My goal is to lose a minimum of 15 pounds by June 30, 2021 by counting calories and exercising.","My goal is to complete a minimum of 200 surveys each week on Amazon Mechanical Turk for each of the next 12 consecutive weeks.","My goal is to earn a minimum of $100 per week on Amazon Mechanical Turk for each of the next 12 consecutive weeks.","My goal is to reduce my alcohol intake from daily to no more than   one day per week for the next 12 consecutive weeks.                                                                                    ne next 12 consecutive weeks","","A2SKOPFTRTNFUY"
"my goal over the next three months and beyond is to exercise every other day to help build energy and muscle. this goal will be ongoing for the rest of my life.","my goal is to finish school and find a new job, this is going to take a little over a year from now.","my goal is to not spend any money for unnecessary things, and save up for important moments. this will also be a life long thing.","","","A1U8LTCX5XYJ45"
"I intend to exercise at least four days every week.","I plan on saving more for retirement by putting at least 7% of my bi-weekly paycheck away.","In the next three months, I plan on improving my home. This includes painting outside, installing a new sump pump and resealing my driveway.","I want to spend more time with my family by committing to spend an hour with them each day.","For my last goal, I want to read more. I will accomplish this by setting 20 minutes aside each day before I go to bed.","A1W7I6FN183I8F"
"My goal is to exercise moderately at least six days each week.","My goal is to maintain a healthy eating pattern every day.","My goal is to plant a garden this spring and work in it every day to harvest food in the fall.","My goal is to choose something to straighten or reorganize every day.","","A1SL72YBUW8Q8K"
"get in better shape overall","practice my musical instruments at least 1 hour daily","organize a musical recording/video for Fall 2021","work on my poetry every day","find more online contract income","A1ZT0TLZZTT47M"
"My goal is to get my legs and knees stronger so that I can go hiking in Utah in four months. ","My goal is to replace the fence posts that are rotten in the next three months. ","My goal is to start investing money for retirement in within six months. ","","","A1561P9VVA3C1C"
"My goal is to treat my best friend better. This will be ongoing. Specifically our main communication is via email. I tend to be judgmental of her and her decisions. Her emails are also riddled with typos and I point those out when I should just overlook them.","My goal is to worry less. I worry over almost everything. I want to try to refrain from worrying over what I cannot change. I want to let what is going to happen anyway just happen and tehn take action rather than worry so much ahead of time.","","","","A2PE32I58ANCDD"
"I want to continue to lose  weight, I have lost some over the last several months but want and need to lose more. Hoping to lose more weight in the next few months.","Eat more healthy as much as my budget by eating more fruits and vegetables daily and get my blood sugars under control again. Hoping to make this a daily practice in the next 2 months.","Learning to be patient with myself and with dealing with daily problems of life, need to reduce stress.","","","APY7YO8CH0ZDP"
"My first goal is to quit smoking completely starting immediately.","My second goal is to paint my kitchen cabinets within the next three months.","My third goal is to exercise more by walking daily every day in the next 3 months.","","","A1OR82RF1ZFWP"
"My single greatest goal that I am focusing on right now is to continue improving my finances over the next three months.","","","","","A2TLN8489YGY81"
"My Goal is Gaining the Knowledge for daily.","My Goal is Decrease the Angry.","My Goal is Improving the Friends.","My Goal is achieve the higher Position.","My Goal  is improve the peaceful life for everytime.","A3M81P9BEVE1GD"
"My goal is to quit smoking forever.","My goal is to lose weight and build strength over the next year.","My goal is to be able to roller skate again within the next three months.","My goal is to save enough money for Christmas over the next nine months.","My goal is to make sure my husband gets the care he needs for his disability for the rest of his life.","A16Z9FSSF1X74O"
"I have a goal to get back into a little bit better shape again and shed roughly 7lbs.","I want to get back into reading regularly (at least 5 days a week).","I want to start writing again about once a week just to explore my creativity.","","","AH00EJ6PK1H3A"
"My goal is to get to my target weight of 165 pounds within the next month.","My goal is to finish constructing my sound booth for my voice overs within the next month.","My goal is to get to the point where I am earning over three thousand dollars each month within the next three months.","My goal is to begin selling my t-shirt designs online as a passive income.","My goal is to exercise at least five days a week in the rest of 2021.","AUQTHU5AOZVQC"
"My goal is to live a healthier lifestyle by exercising more and eating better.","My goal is to start learning Italian","My goal is to save 150.00 every month for emergencies","","","A169WH54HMYS5Z"
"Closely monitor and see to it that my youngest sister successfully completes her rehabilitation program for heroin addiction","Provide mentoring and tutoring to my sister's children to help them achieve better grades in the final trimester of school","Ensure that my own children are properly mentored and tutored so they maintain their grades and mood as their cousins move in with us","Reestablish my strength levels on the so-called ""Big 3"" lifts: deadlifts, squats, and bench press","Improve my cardiovascular fitness by running a 6 minute mile","A248PLZABUKB62"
"I would like to lose 15 pounds over the next 3 months.","I would like to increase my run distance from 8 miles to 12 miles over the next 6 weeks.","I would like to decrease my credit card debt by $1000 over the next 2 months","I would like to add $1500 to my savings account.","","A2H92K2776A1IC"
"My goal is to cut out sugar from my diet.","My goal is to get to 25k net worth.","My goal is to get to the doctor.","","","A1H5Q9HRH4RPZU"
"I would like to start saving more for my retirement and I have started putting extra money every week in my savings account.","I am striving for a promotion at work. I think that I will succeed in this within the next year.","","","","A3O0ZQMDKOKAMR"
